"year","TAZ","count"
2020,20336700,53
2019,20336800,11
2020,20336800,21
2019,20336900,148
2020,20336900,134
2019,20337100,94
2020,20337100,97
2019,20338100,6627
2020,20338100,6456
2019,20338200,6867
2020,20338200,6660
2019,20338300,32
2020,20338300,28
2019,20339100,6
2020,20339100,6
2019,20340100,157
2020,20340100,140
2019,20341100,98
2020,20341100,92
2019,20341200,184
2020,20341200,206
2019,20342100,261
2020,20342100,250
2019,20343100,107
2020,20343100,113
2019,20343200,121
2020,20343200,123
2019,20344100,164
2020,20344100,162
2019,20345100,143
2020,20345100,142
2019,20346100,71
2020,20346100,63
2019,20347100,367
2020,20347100,352
2019,20348100,1708
2020,20348100,1688
2019,20348200,1811
2020,20348200,1828
2019,20349100,53
2020,20349100,49
2019,20351100,1792
2020,20351100,1756
2019,20351200,2636
2020,20351200,2597
2019,20357100,297
2020,20357100,310
2019,20357200,2960
2020,20357200,2969
2019,20373100,121
2020,20373100,125
2019,20378100,142
2020,20378100,131
2019,20378200,17
2020,20378200,8
2019,20378300,55
2020,20378300,51
2019,20378400,78
2020,20378400,76
2019,20378500,39
2020,20378500,37
2019,20378600,61
2020,20378600,59
2019,20378700,7
2020,20378700,7
2019,20388100,229
2020,20388100,236
2019,20388200,78
2020,20388200,80
2019,20388300,252
2020,20388300,251
2019,20388400,1042
2020,20388400,996
2019,20388500,942
2020,20388500,919
2019,20388600,216
2020,20388600,204
2019,20388700,20
2020,20388700,23
2019,20388800,79
2020,20388800,75
2019,20388900,1274
2020,20388900,1217
2019,20389100,372
2020,20389100,377
2019,20389200,2284
2020,20389200,2215
2019,20389300,887
2020,20389300,854
2019,20389400,2244
2020,20389400,2150
2019,20389500,1110
2020,20389500,1098
2019,20389600,55
2020,20389600,49
2019,20389700,710
2020,20389700,652
2019,20389800,416
2020,20389800,418
2019,20389900,227
2020,20389900,224
2019,20390100,18
2020,20390100,12
2019,20390200,33
2020,20390200,39
2019,20390300,12
2020,20390300,10
2019,20390400,17
2020,20390400,21
2019,20390500,0
2020,20390500,0
2019,20390600,0
2020,20390600,0
2019,20390700,0
2020,20390700,0
2019,20390800,515
2020,20390800,501
2019,20390900,12
2020,20390900,30
2019,20391100,1179
2020,20391100,1184
2019,20391200,339
2020,20391200,315
2019,20392100,1351
2020,20392100,1278
2019,20392200,106
2020,20392200,105
2019,20392300,65
2020,20392300,76
2019,20392400,141
2020,20392400,141
2019,20393100,77
2020,20393100,84
2019,20393200,83
2020,20393200,73
2019,20393300,87
2020,20393300,74
2019,20393400,6
2020,20393400,10
2019,20393500,878
2020,20393500,867
2019,20395100,472
2020,20395100,468
2019,20397100,305
2020,20397100,300
2019,20422100,1639
2020,20422100,1624
2019,20229100,6783
2020,20229100,6539
2019,20229200,503
2020,20229200,583
2019,20231100,854
2020,20231100,847
2019,20231200,1132
2020,20231200,1080
2019,20232100,342
2020,20232100,362
2019,20232200,762
2020,20232200,798
2019,20232300,1478
2020,20232300,1467
2019,20232400,1301
2020,20232400,1242
2019,20233100,6705
2020,20233100,6480
2019,20234100,614
2020,20234100,603
2019,20234200,1162
2020,20234200,1180
2019,20234300,2313
2020,20234300,2340
2019,20234400,1791
2020,20234400,1752
2019,20235100,1992
2020,20235100,1938
2019,20235200,3184
2020,20235200,3203
2019,20235300,1473
2020,20235300,1469
2019,20235400,1564
2020,20235400,1629
2019,20235500,539
2020,20235500,594
2019,20235600,1341
2020,20235600,1325
2019,20236100,1636
2020,20236100,1642
2019,20236200,883
2020,20236200,879
2019,20236300,842
2020,20236300,801
2019,20236400,2041
2020,20236400,2008
2019,20237100,114
2020,20237100,166
2019,20237200,2592
2020,20237200,2601
2019,20237300,1424
2020,20237300,1434
2019,20237400,2359
2020,20237400,2293
2019,20238100,1109
2020,20238100,1109
2019,20238200,1900
2020,20238200,1880
2019,20239100,4719
2020,20239100,4564
2019,20239200,1027
2020,20239200,1097
2019,20240100,1414
2020,20240100,1423
2019,20240200,2313
2020,20240200,2235
2019,20241100,3040
2020,20241100,3083
2019,20242100,1341
2020,20242100,1291
2019,20242200,1642
2020,20242200,1672
2019,20242300,1299
2020,20242300,1278
2019,20243100,1628
2020,20243100,1589
2019,20243200,1476
2020,20243200,1450
2019,20244100,1161
2020,20244100,1232
2019,20244200,2148
2020,20244200,2155
2019,20244300,2890
2020,20244300,2931
2019,20244400,433
2020,20244400,463
2019,20244500,1626
