block_id,ln_total_hh,ln_total_jobs,ln_total_units,sum_acres,total_hh,total_jobs,total_units
060971534014002,0.0,2.4849066497880004,1.3862943611198906,0.8475707091423968,0.0,11.0,3.0
060971534014004,3.951243718581427,1.0986122886681096,4.110873864173311,14.438354674982579,51.0,2.0,60.0
060971534014005,3.332204510175204,0.0,3.4339872044851463,7.35829754426889,27.0,0.0,30.0
060971534014006,3.6375861597263857,5.655991810819852,3.8066624897703196,18.506446973703067,37.0,285.0,44.0
060971534014007,2.0794415416798357,4.1588830833596715,1.791759469228055,4.697469148920398,7.0,63.0,5.0
060971534014010,4.3694478524670215,2.4849066497880004,4.584967478670571,25.4901330908408,78.0,11.0,97.0
060971534014011,3.0910424533583156,1.791759469228055,3.2188758248682006,6.365676104436526,21.0,5.0,24.0
060971534014012,3.988984046564274,2.4849066497880004,4.127134385045092,15.576273950667925,53.0,11.0,61.0
060971534014013,3.044522437723423,0.0,3.1780538303479453,4.083907029153467,20.0,0.0,23.0
060971534015000,3.5553480614894135,4.442651256490317,3.6375861597263857,7.366946224974424,34.0,84.0,37.0
060971534015001,4.9126548857360515,1.9459101490553132,5.10594547390058,23.410248933741222,135.0,6.0,164.0
060971534015002,3.6109179126442243,1.791759469228055,3.912023005428146,3.7905932006543344,36.0,5.0,49.0
060971534015003,2.70805020110221,1.0986122886681096,3.044522437723423,2.074200738350227,14.0,2.0,20.0
060971534015004,3.6375861597263857,1.6094379124341003,3.58351893845611,5.648576921366195,37.0,4.0,35.0
060971534015005,3.8501476017100584,1.3862943611198906,4.060443010546419,7.856461552907686,46.0,3.0,57.0
060971534015006,3.6375861597263857,1.3862943611198906,3.784189633918261,8.27629322487064,37.0,3.0,43.0
060971534015007,2.70805020110221,0.0,2.772588722239781,2.8666669961402174,14.0,0.0,15.0
060971534015008,3.2188758248682006,1.0986122886681096,3.1354942159291497,4.502256070138329,24.0,2.0,22.0
060971534015009,2.197224577336219,3.2188758248682006,2.197224577336219,8.101342769455824,8.0,24.0,8.0
060971534016000,4.553876891600541,4.330733340286331,4.770684624465664,22.619018201766306,94.0,75.0,117.0
060971534016001,1.9459101490553132,0.6931471805599453,1.791759469228055,1.0766371952575577,6.0,1.0,5.0
060971534016002,4.941642422609304,4.174387269895637,5.176149732573829,48.664643699065444,139.0,64.0,176.0
060971534016003,4.0943445622221,1.0986122886681096,4.330733340286331,4.432819519331037,59.0,2.0,75.0
060971534016004,3.4011973816621555,1.6094379124341003,3.3672958299864737,7.563147724408553,29.0,4.0,28.0
060971534016005,2.70805020110221,1.0986122886681096,2.4849066497880004,2.738172311372274,14.0,2.0,11.0
060971534016006,3.988984046564274,1.3862943611198906,4.304065093204169,15.888614876719235,53.0,3.0,73.0
060971534016007,2.3978952727983707,1.6094379124341003,2.3025850929940455,1.591604354981393,10.0,4.0,9.0
060971534016008,3.8501476017100584,1.6094379124341003,4.04305126783455,7.613804282826685,46.0,4.0,56.0
060971534016009,0.6931471805599453,1.0986122886681096,1.0986122886681096,0.22634832932199284,1.0,2.0,2.0
060971534032003,2.197224577336219,3.58351893845611,2.197224577336219,5.493147773829587,8.0,35.0,8.0
060971534032004,0.0,2.4849066497880004,0.0,0.8614085982712523,0.0,11.0,0.0
060971534032005,0.0,3.951243718581427,1.3862943611198906,5.320915475207939,0.0,51.0,3.0
060971534032006,0.0,2.995732273553991,0.6931471805599453,2.2323480426800035,0.0,19.0,1.0
